_id,bgColor,createdAt,deleted,order,removedBy,slug,status,title,updatedAt,userId,workspaceId
Z4BiKbq2nZBreE44T,"rgb(187,57,121)",2018-07-06T22:23:18.129Z,true,0,,---,public,,2018-07-12T22:58:59.815Z,zXFnQwb6rdhSQWuGd,wa9fkhCXPgXL5Xca3
westriu4rJf4iE8eS,"rgba(92,184,92,1)",2018-08-03T17:10:47.567Z,false,15,,first-project-sept-21st,public,First Project - Sept. 21st,2018-11-17T13:01:07.126Z,sHzT6ngX98NEDhAP8,WgyfgPKf84bgXbrCZ
zeYCS33cB4u4Xymir,"rgba(230,119,80,1)",2018-08-03T17:12:56.613Z,false,11,,second-project-oct-19th,public,Second Project - Oct. 19th,2018-11-17T13:01:07.115Z,sHzT6ngX98NEDhAP8,WgyfgPKf84bgXbrCZ
bFLbp53iX3NdsK2Cv,"rgb(39,71,120)",2018-08-03T17:13:36.772Z,false,9,,third-project-nov-16th,public,Third Project - Nov. 16th,2018-11-17T13:01:06.241Z,sHzT6ngX98NEDhAP8,WgyfgPKf84bgXbrCZ
kg9Fp3NDeegvjSJMe,"rgb(75,107,110)",2018-08-03T17:14:03.586Z,false,6,,december-14-session,public,December 14 Session,2018-11-17T13:01:06.430Z,sHzT6ngX98NEDhAP8,WgyfgPKf84bgXbrCZ
TCwGTys7m3JwiuWpg,"rgb(14,216,195)",2018-08-16T16:38:04.925Z,false,19,,sept-21-session,public,Sept 21 Session,2018-11-17T13:01:07.137Z,sHzT6ngX98NEDhAP8,WgyfgPKf84bgXbrCZ
upGG7jmviNB6GHZm6,"rgba(173,167,161,1)",2018-08-16T19:46:23.350Z,false,4,,course-information,public,Course Information,2018-11-17T13:01:05.403Z,sHzT6ngX98NEDhAP8,WgyfgPKf84bgXbrCZ
Kg4Cq32BtJjwTRZoG,"rgb(60,118,123)",2018-09-04T21:56:38.200Z,false,1,,9718-assignments,public,9.7.18 Assignments,2018-09-04T22:01:19.277Z,chGrQ9PN2YGYWK63Y,aXKHYwtv2g4LYzcf2
r5xMubSSW3r789NG6,"rgb(209,115,195)",2018-09-04T21:56:32.192Z,false,0,,about-me,public,About Me,2018-09-04T22:01:19.266Z,chGrQ9PN2YGYWK63Y,aXKHYwtv2g4LYzcf2
rQBNanxqeuuoFoG4b,"rgb(132,134,224)",2018-09-04T22:01:05.398Z,false,2,,91418-assignments,public,9.14.18 Assignments,2018-09-04T22:01:27.473Z,chGrQ9PN2YGYWK63Y,aXKHYwtv2g4LYzcf2
bRT2npmBRze8ziSd2,"rgb(194,106,40)",2018-09-04T22:01:32.204Z,false,3,,92018-assignments,public,9.20.18 Assignments,2018-09-04T22:01:41.972Z,chGrQ9PN2YGYWK63Y,aXKHYwtv2g4LYzcf2
qreNxwmXfwFDZdjC7,"rgb(185,231,171)",2018-09-06T03:00:04.729Z,false,0,,about-me,public,About Me,2018-12-02T17:57:08.184Z,KtmxSfDBijtzjsJYm,vBwmcABpqnaEzfx6A
RRxE6KtzcyaX4DW2N,"rgb(224,183,86)",2018-09-06T03:01:16.385Z,false,1,,week-1-9718-assignments,public,Week 1 (9.7.18) Assignments,2018-12-02T17:57:09.154Z,KtmxSfDBijtzjsJYm,vBwmcABpqnaEzfx6A
HBs35gxrixhEXDgFn,"rgba(177,14,166,1)",2018-09-06T14:55:05.293Z,false,1,,week-1,public,Week 1,2018-09-15T02:50:53.323Z,FhS9YCt3SwFWcefMG,wGZESDkt4YciirXbs
SztNCqSc8di3HTq82,"rgba(65,81,120,1)",2018-09-06T02:34:27.141Z,false,0,,my-story,public,My Story,2018-09-06T18:09:34.441Z,67z4z89Xw5B495oD2,CS24onTq4r34Kn7Q4
7WSo7RierGv4DqT46,"rgba(103,145,220,1)",2018-09-06T18:51:10.560Z,false,0,,about-me,public,About Me,2018-12-07T18:46:49.376Z,ZyBb5SwtnGSy45fyD,LQpqBPKL2FXWjgR7v
wZ2o8bD8SNiJWTaTb,"rgba(220,67,32,1)",2018-09-06T18:59:43.861Z,false,0,,bio,public,BIO,2018-11-08T15:35:35.730Z,DJ9vY7sdFFLxKMRK6,v6DWKtHSpdxc3gAuK
Z6XXMzHsYTzwcuu7W,"rgba(102,16,153,1)",2018-09-06T19:00:25.088Z,false,1,,9718-assignments,public,9.7.18 Assignments,2018-11-08T15:35:35.782Z,DJ9vY7sdFFLxKMRK6,v6DWKtHSpdxc3gAuK
h37phKuaDzXnkgfie,"rgb(64,233,197)",2018-09-06T19:40:36.693Z,true,0,,about-yigu,public,About Yigu,2018-09-06T19:41:37.351Z,sq7SHLAX34wXDZFek,ALqy4xMeEpD3XsYkk
sNw4aMo74DsBo3sc8,"rgb(205,148,47)",2018-09-06T20:05:40.150Z,true,0,,---,public,,2018-09-06T20:05:44.376Z,5fDT25YHWKd98iP5q,ELPZs6vTqhGzzBAzq
4tWnQFs8cqrqto94f,"rgb(11,37,89)",2018-09-06T20:36:12.541Z,false,3,,92118-assignments,public,9.21.18 Assignments,2018-11-08T15:35:35.883Z,DJ9vY7sdFFLxKMRK6,v6DWKtHSpdxc3gAuK
D9KCBsAoe2DpXAjPK,"rgba(35,117,153,1)",2018-09-06T20:36:21.964Z,false,2,,91418-assignments,public,9.14.18 Assignments,2018-11-08T15:35:35.833Z,DJ9vY7sdFFLxKMRK6,v6DWKtHSpdxc3gAuK
YjkMTqjkrbBns5GfK,"rgb(27,212,53)",2018-09-06T20:36:36.498Z,true,4,,---,public,,2018-09-06T20:36:51.416Z,DJ9vY7sdFFLxKMRK6,v6DWKtHSpdxc3gAuK
BCkRL9PXqXZNGsiPZ,"rgba(30,36,85,1)",2018-09-06T20:46:26.687Z,false,8,,10262018-assignments,public,10.26.2018 Assignments,2018-11-08T15:35:35.773Z,DJ9vY7sdFFLxKMRK6,v6DWKtHSpdxc3gAuK
oCuTRJm8aAR8mFAmJ,"rgb(125,57,143)",2018-09-06T20:46:54.525Z,true,6,,---,public,,2018-09-06T20:48:25.392Z,DJ9vY7sdFFLxKMRK6,v6DWKtHSpdxc3gAuK
d5KHz9HLqjbAoat7N,"rgb(255,230,169)",2018-09-06T20:49:00.635Z,true,4,,notes,public,Notes,2018-09-06T20:49:31.080Z,DJ9vY7sdFFLxKMRK6,v6DWKtHSpdxc3gAuK
thbkaWpkEs7P5JZRY,"rgb(244,198,179)",2018-09-06T22:25:17.257Z,true,0,,---,public,,2018-09-06T22:25:31.378Z,tLWzZ8LERecHBEYfi,LCRss7udHuczYx65E
bMXQQnKnGPh8piYkK,"rgb(169,47,62)",2018-09-06T22:25:18.587Z,true,1,,---,public,,2018-09-06T22:25:24.299Z,tLWzZ8LERecHBEYfi,LCRss7udHuczYx65E
xh2DgqbkEs2Jt4mZa,"rgb(117,74,32)",2018-09-06T22:25:19.837Z,true,2,,---,public,,2018-09-06T22:25:28.482Z,tLWzZ8LERecHBEYfi,LCRss7udHuczYx65E
vp6dWhP4zyo9ks9Lz,"rgba(4,144,247,1)",2018-09-06T23:33:46.131Z,false,0,,about-me,public,About me,2018-11-16T00:46:35.081Z,8nDDuSkJHBZuXp8Mf,qMvJuk48atWs86Z2P
P3KrsG63tKkn2wTbb,"rgb(56,197,212)",2018-09-06T23:53:36.590Z,false,4,,reading-reflections-week-1,public,Reading Reflections Week 1,2018-11-16T00:46:35.094Z,8nDDuSkJHBZuXp8Mf,qMvJuk48atWs86Z2P
6twL4pDdAjfd37XG5,"rgb(54,119,244)",2018-09-07T00:20:35.480Z,false,0,,about-me,public,About me,2018-11-26T23:05:28.382Z,KaR4ZSQb52qi78HoP,Sr2xZgPwr439ZZYYA
zsWvzcePcWvFeo54o,"rgb(44,173,209)",2018-09-07T01:50:00.587Z,true,0,kjJYniGziGmt245X8,about-me,public,About me,2018-11-14T05:47:50.766Z,KzoNyARq9Ck6xHWQw,kjJYniGziGmt245X8
