id,name,access_key,created_at,description,instructions,is_closed,is_commentable,is_public,is_sponsored,owner_id,short_url,thumbnail,updated_at,video_id
45305,HUDK4011 Fall 2018 - Discussion of Innovation through Design Thinking by Tim Brown,821189f44f6f9eacd9809c02a00d503e2cb042ee2185742138dc,2018-08-15T21:17:27.000-04:00,What are the implications of design thinking for how we might approach the course projects?<br /><br />How can we approach the projects as designers?<br /><br /> ,,false,true,false,false,50,zazja,,2018-08-15T21:17:28.000-04:00,1298
45306,HUDK4011 Fall 2018 - Discussion of Video for Learning by Richard Mayer,8c7f81510051bd66050525dac806f4f3080d964190464cde65eb,2018-08-15T21:41:29.000-04:00,What are the implications of Mayer's principles for using video for the design of online learning opportunities? ,,false,true,false,false,50,fugit,,2018-08-15T22:07:57.000-04:00,4266
45307,HUDK4011 FALL 2018 - Discussion of Connectivism by George Siemens,fb591322ed6239a1617a122d2bc8538176b6c3c1989da32e335f,2018-08-15T21:59:29.000-04:00,What does the connectivist theory of learning suggest for the creation of online learning opportunities? ,,false,true,false,false,50,moror,,2018-08-15T22:06:53.000-04:00,4265
45328,HUDK4011 Fall 2018 - Discussion of The Fourth Industrial Revolution,28ecb6a9de760d1262a5173d74f6a55113fcfab00c01a4fa5311,2018-08-16T15:31:18.000-04:00,"What are the implications of the changes in physical, digital, and biological systems of the Fourth Industrial Revolution for opportunities for online learning?",,false,true,false,false,50,renon,,2018-08-16T15:31:18.000-04:00,39002
45329,HUDK4011 Fall 2018 - Discussion of Education in the Digital Age by Eszter Hargittai,761017eb339159f2d0a3eb1d635452f4cb987ca5c34097624727,2018-08-16T15:42:53.000-04:00,What are the implications of Eszter Hargittai's findings about digital natives for the design of online learning opportunities?,,false,true,false,false,50,fetbed,,2018-08-16T15:42:54.000-04:00,39003
45435,HUDK4011 Fall 2018 - Discussion of Too Big To Know by David Weinberger,3506cc919343982b834eafab12b0af7e4c4ac1c739094fc88395,2018-08-27T20:22:50.000-04:00,Discuss the implications for online learning?,,false,true,false,false,50,kosbut,,2018-08-27T20:22:50.000-04:00,4231
45450,HUDK4011 Fall 2018 Discussion of Learning with MOOcs by George Siemens,fd6c4deb0fe393da91f63dd73d1322fe3f59a6fa3bac8639833b,2018-08-28T19:06:05.000-04:00,What are the big take-aways from Professor Siemens' keynote?  Is there anything you want to challenge?,,false,true,false,false,50,variva,,2018-08-28T19:06:05.000-04:00,39116
45451,HUDK4011 Fall 2018 Discussion of Alice Spring as an Online School,0939351b76153d9af37ea3bc5ed866e1b074610e7097db8afa39,2018-08-28T19:10:27.000-04:00,What lessons can we learn from the Alice Springs School of the Air for creating online learning opportunities? ,,false,true,false,false,50,ebdu,,2018-08-28T19:10:27.000-04:00,1537
45452,HUDK4011 Fall 2018 Discussion of Learning on Stack Overflow with Joel Spolsky,6fbbfbc6de24514233b6140bad660ad38d868df98134c7481171,2018-08-28T19:32:45.000-04:00,In what ways is Stack Overflow a useful model for learning settings?,,false,true,false,false,50,iricaw,,2018-08-28T19:32:46.000-04:00,990
45453,HUDK4011 Fall 2018 Discussion of Libraries and Learning Communities by Lee Rainie ,a27cebdad6c1740910962f9594978378682a9e711faabc52187f,2018-08-28T20:08:59.000-04:00,How can libraries as envisioned by Rainie serve as models of online learning environments? ,,false,true,false,false,50,ineep,,2018-08-28T20:08:59.000-04:00,4339
45454,HUDK4011 Fall 2018 Discussion of the Filter Bubble by Eli Pariser,1c977fd2b39e9140fce2f95d8bc34024139c8edb8a4e97ba736e,2018-08-28T20:15:20.000-04:00,How do the kind of filters discussed by Pariser impact learning online? ,,false,true,false,false,50,abra,,2018-08-28T20:15:20.000-04:00,618
45455,HUDK4011 Fall 2018 Discussion of Addictive Linking by Peter Brusilovsky,e5fa01424b90cfa2283c1b007caf26bdfb56802523e3fbfd68b3,2018-08-28T20:21:06.000-04:00,"As you listen to Professor Brusilovsky discuss his latest work on adaptive systems, consider how you might use these technologies in your design project for the course. In particular, consider the value of addictive linking for student engagement and motivation. ",,false,true,false,false,50,icjor,,2018-08-28T20:21:06.000-04:00,415
45456,HUDK4011 Fall 2018 Discussion of Collaboration in Building Wikipedia by Joseph Reagle,4899a90b8d48a2c0af0437b2b8b1a1dc59efdbdec900390bc01f,2018-08-28T20:28:04.000-04:00,Discuss the implications of the collaboration that built and maintains Wikipedia for the development of networked educational resources and institutions. ,,false,true,false,false,50,geti,,2018-08-28T20:28:04.000-04:00,4242
