id,body,commenter_id,created_at,parent_id,time,type,updated_at,vialogue_id
313385," Earlier in the presentation Mr. Brown makes reference to the fact that at its root, design is a&quot;human-scented process&quot;, by which he means that it doesn't stand as its own autonomous field. Rather, it starts with the subject (who is being designed for?) and works backwards from there. Thus, to be an effective designer one must be familiar with the demographic of those they are designing for. When it comes to our course projects, it may be important to consider a larger narrative and how the project fits into it. In particular, to achieve this will mean becoming familiar with our classmates and the course as a whole.",48648,2018-09-07T00:17:34.000-04:00,,2153,text,2018-09-07T15:53:58.000-04:00,45305
313386," I always thought good design was 50/50. For instance, 50% time and effort on the aesthetics of the design and the other 50% on people. It's so interesting to see on the extent of ""perspective"" aspect you should focus as part of the design process. Which makes sense, since after all you are designing and to create for who is using it.",48649,2018-09-07T01:08:22.000-04:00,,2521,text,2018-09-07T01:08:22.000-04:00,45305
313390," Using design thinking can lead us come up with new ideas and new ways for this course project. As Mr. Brown said: “Design is the way that they create their future”, when it comes to our projects, we should also think of doing something that could contribute our future. Again, since design is based on what people hope and then help people to create things, so we should think of some new ideas and select those good ideas while gradually approaching our projects.",48634,2018-09-07T02:28:50.000-04:00,,1655,text,2018-09-07T02:28:50.000-04:00,45305
313391,"@Eli, do you think this approach can lead to <a href=""https://hbr.org/2015/12/what-is-disruptive-innovation"">disruptive innovations</a>? ",81,2018-09-07T02:40:46.000-04:00,313385,0,text,2018-09-07T02:40:46.000-04:00,45305
313392,"@Wen I agree but Natasha Jen has a very different take on Design Thinking. Check out her talk, <a href=""https://99u.adobe.com/videos/55967/natasha-jen-design-thinking-is-bullshit"">""Design Thinking Is Bullsh*t</a>.""",81,2018-09-07T02:46:00.000-04:00,313390,0,text,2018-09-07T02:46:00.000-04:00,45305
313393,"@Jia Hui Does ""aesthetics"" include user experience? ",81,2018-09-07T03:04:48.000-04:00,313386,0,text,2018-09-07T03:04:48.000-04:00,45305
313394," As Mr. Tim Brown provides one approach to the purpose of design thinking is to maximize efficiency and ultimately create values such as new strategies and new partnership, design thinking is really there to help think outside the box. As Mr. Brown later mentions the three phases for design thinking, extreme values on the bell curve, rare things that have never happened before later form into inspirations and innovations. Therefore, I personally consider that design thinking is more about the process rather than the outcome, give. It sparkles to think, even though the result may not be satisfactory, one must learn and improve by brainstorming. As designers for the course projects, we need to connect things that may never be connected and find their unique connections.",48654,2018-09-07T03:53:18.000-04:00,,2474,text,2018-09-07T03:53:18.000-04:00,45305
313395,"@Linjin Thanks for sharing this perspective. Have you heard of <a href=""https://www.versionone.com/agile-101/agile-methodologies/"">Agile Methodologies</a>? What do you think? ",81,2018-09-07T04:02:08.000-04:00,313394,0,text,2018-09-07T04:02:08.000-04:00,45305
313396," When it comes to approaching projects as designers, one has to think about the real-world implications, how it might solve a particular problem, or how to modernize the system. However, most importantly, one has to explore their environment, which might include researching their industry. These factors can serve as an inspiration. In other words, it has to be applicable. As Mr. Brown has stated, “It starts with empathy.” For instance, in the education industry, designers can think about the flaws or unresolved issues in the education system for inspiration, the age of the children that are targeted, brainstorm possible solutions, and create an experiment that places a priority on external validity. However, it is also important to keep teachers in mind when it comes to design thinking.  Mr. Brown called design thinking a “human-scented process.” In the education industry, design can be thought of as a student-teacher process.",48622,2018-09-07T04:05:33.000-04:00,,3441,text,2018-09-07T04:05:33.000-04:00,45305
313403," After watching this video, I was thinking what is the difference between &quot;Design thinking&quot; and ordinary thinking. In my opinion, the cognitive process people usually use is to think base on their own experience. For example, in most scientific research situations, people search information base of their knowledge (e.g. input keywords they already known). Also, people tend to retrieve memories to deal with similar situations. This kind of thinking often causes confirmation bias, which means you selectively perceive what corresponds with your preexisting hypothesis. Confirmation bias could cause disasters in product development because you are solving your own problem, not the user's. <br /><br />I believe the &quot;Design thinking&quot; is what we can minimize the effect of confirmation bias. By accurately define who the target audiences are, actually watching participants doing their tasks (or doing the task by ourselves), we could have better insights for the problems. <br /><br />This course is a very good opportunity to experience online learning. We can definitely find some inconvenience during the process. For me, English is my second language (and is not good enough) so I need more perceptual cues to understand what speaker was saying. I had a very hard time watching the &quot;video in this video&quot;. I could barely recognize the words in the sentences even repeated for several times. The sound was not clear enough to make me understand...",48635,2018-09-07T05:27:30.000-04:00,,3029,text,2018-09-07T19:06:51.000-04:00,45305
313404," I learned about the importance of design thinking, it can be used in different environment and make variety results. Design thinking is the crucial part for innovation. I strongly agree with the three important words for design thinking: Inspiration, Ideation, implementation. This video makes me realize design research is a inspire tool rather than predicate opportunities.",48652,2018-09-07T05:39:26.000-04:00,,2985,text,2018-09-07T05:39:26.000-04:00,45305
313405," I was inspired by the 3 phases of design thinking mentioned in the presentation: inspiration, ideation, and implementation. Design thinking can help develop our storytelling skills, creativity, logistical thinking, team collaboration, leadership, and implementation capacity for this course project. When we do our projects, we should think about the goals we want to attain or the problems we want to solve. We should also shape our ideas based on people's demands and help them either solve the problems or create things for them. To approach the projects as designers, we need to  think outside of box, select those ideas, and make clear plans to implement our ideas.",48658,2018-09-07T10:08:43.000-04:00,,3037,text,2018-09-07T10:08:43.000-04:00,45305
313452," From Design to Design Thinking, it breaks the illusion that design is all about making things look cooler or prettier. Instead, it leads us to the concentration of process and the sophistication it takes to really understand people on multiple levels. Just as Mr. Brown says, design thinking starts with empathy, and thus observe and listen to stories are of vital importance. I love the idea of storytelling, for it creates an immersive environment to dive into people’s situation and bring the sense of mission to create a better world through design.",48620,2018-09-07T14:26:43.000-04:00,,3059,text,2018-09-07T14:26:43.000-04:00,45305
313470, Having insights as the speaker terms it is certainly important. This broadens the perspective from which we make decisions and it takes us out of our comfort zones to make decisions that might inspire the groups we work with or our organizations and affiliations as a whole.,12480,2018-09-07T15:45:45.000-04:00,,1027,text,2018-09-07T15:45:45.000-04:00,45305
313471," I am surprised about that idea Mr. Tim Brown said that insights come from extreme users. I think the extreme users here not only means the minority of people but also means people's extreme demand. In other words,  to invent something new is a process of meeting people's extreme need and expanding the boundaries of what human can do.  Thus, as Mr. Brown said, it is important for the designer to have a close observation of people and see things from the perspective of them. This gives me an inspiring tip that to gain insight from people rather than just from books.",48630,2018-09-07T15:56:34.000-04:00,,3211,text,2018-09-07T15:56:34.000-04:00,45305
313474, Stories are indeed a good way to give an in depth description of what to expect as part of the design process. I think a more tangible form of story telling will always be more advantageous because it gives a sense of hope and aspiration for similar future products.,12480,2018-09-07T16:05:01.000-04:00,,2311,text,2018-09-07T16:05:01.000-04:00,45305
313476,@Can I am with you on your claim that gaining insights from people trumps insights from books. I think the personal interaction we have with others highlights some expectations that users have that we could not have imagined. Without incorporating the opinions and expectations of others the purpose of ensuring great user experience will not be fully achieved. ,12480,2018-09-07T16:28:05.000-04:00,313471,0,text,2018-09-07T16:28:05.000-04:00,45305
313544,"In the video, 3 phases of design thinking were introduced by the speaker: inspiration, ideation, and implementation. Innovation can hardly be achieved without one another. I am highly inspired by a bell-shaped graph, shading two tails, saying ""insights come from extreme users"". The users in the middle may bring greater economic profit, but the users at two sides may raise abnormally needs, and that's where innovation starts at.",48646,2018-09-08T03:01:00.000-04:00,,0,text,2018-09-08T03:01:00.000-04:00,45305
313545, I think prior to this I might have underestimated the importance of the space you work and collaborate in and how that can affect your thinking/design.,48633,2018-09-08T03:07:35.000-04:00,,2758,text,2018-09-08T03:07:35.000-04:00,45305
313546," I always love the idea of prototyping and iterating upon concepts instead of waiting for the ""perfect"" model. It's a wonderful approach that can help you move through mistakes inexpensively. I find it interesting that in some of the traditional research circles I've worked in - iterative ""agile"" approaches aren't explicitly referred to, but instead the idea of research not being linear is often alluded to.",48633,2018-09-08T03:11:28.000-04:00,,1569,text,2018-09-08T03:11:28.000-04:00,45305
313553," I believe that design inspires innovation. Approaching design problems is the way to create a future, people investigate the way design contributing to the development of unique product and services in a viable and feasible way. The human design does not always stand as its free field, but it commences with the subject and accomplishes backward from there generating a new idea that’s what inspiration for things might be. It is tough to inspire by other people unless we could sympathize emotionally to understand people on multiple levels which is extremely useful when it comes to designing with cognitive experiences. <br /><br />From the bell shade, it gives an essential idea that insights come from extremely users. Concern about the large portion of the population which is more predictable but not necessarily gives you the most interesting insights. The idea of this project design of this course is to go the ends of the bell curve looking for extreme users, something potential worthwhile, not just maximize efficiency and ultimately create commercialize values. As long as a business model could solve its industry problems or a particular obstacle in society, It will eventually succeed in the history of human business",48657,2018-09-08T07:27:45.000-04:00,,1677,text,2018-09-08T07:27:45.000-04:00,45305
313638," I am impressed by the idea that ""design thinkers use the world as a source of inspiration not just validation"". Sometimes, stereotypes and experiences prevent us from generating new ideas. Mr. Brown points out how to create a new idea: (1) starts with empathy (2) concentrates on extreme situations (3) understands on multiple levels including physical, cognitive and emotional levels. In conclusion, inspiration is people-oriented. For example, design thinking in the education industry, educators and researchers should know students' thoughts in depth, especially those do bad in class, to innovate.",48737,2018-09-08T17:29:10.000-04:00,,2544,text,2018-09-08T17:29:10.000-04:00,45305
313645," I believe innovation is the essential element to promote the social movement, and the design thinking behind innovation is, as Tim said, the way they create their future, to create new strategies, new market etc. Design thinking is now becoming a trend in different industries, but the most companies still follow the stereotype that constrains their ideas inside a limited space. I think design thinking should be advocated in order to enhance the efficiency in our daily lives, by follow the three phases Mr. Tim Brown mentioned in the video: inspiration, ideation, and implementation.<br /><br />However, it is hard just to come up with new ideas without any signs because the innovation comes from the experience. To combined what Mr. Tim Brown mentioned, I suggest we should first follow the prototype, plus the learning from experience in order to achieve whatever will be in the final.",48738,2018-09-08T20:03:32.000-04:00,,1818,text,2018-09-08T20:03:32.000-04:00,45305
313681," this video sheds light upon our common misconception about innovation and over-emphasis on ideation. Instead of mind drifting in the name of brianstorming, inspiration comes from getting out to the real world and empathizing with people. Some useful strategies are introduced such as analogous situation and drawing information from different domains. Also, designing is not problem-solving once for all, iterative prototyping is an essential way to make a design work in different situations. At the same time, getting your design across to others by means of story-telling, instead of cold statistic presentation. All in all, an inspiring video changing daily understanding and intuition about design and setting the stage for innovation by ourselves in the future.",48629,2018-09-08T22:52:33.000-04:00,,3441,text,2018-09-08T22:52:33.000-04:00,45305
313684,"I think it's absolutely important that Brown stresses the importance of ""inspiration"" and ""implementation"" as same as ""ideation"". Good ideas and insights have to be inspired by some unfamiliar experiences instead of coming from the middle of nowhere. It's really interesting to note that stepping out of one's own comfort zone, putting oneself in the shoes of others and experiencing something new, is the key speaking not just of some fields such as cultural and ethnic education, but also of the field of technology and design thinking. Actually, interactions with others and collaboration are applicable to every aspect of our lives.",48757,2018-09-08T22:59:16.000-04:00,,0,text,2018-09-08T22:59:16.000-04:00,45305
313710," From Mr. Brown's lecture we can see that the importance of connecting customers and products emotionally and physically through design thinking, as it increases the chance of success of a product strategy, either breaking into a new market segment, or simply maintaining current market position. I totally agree with the bell shape that extreme customers matter in design thinking. To be honest, I think they are whom matters the most in whether a product is standing out or not, comparing to competitors' products. This is because that people are normally able to stand in the shoes of most of the customers, whom interact the most with company or the market, but not the ones that rarely do so. But if a company could come up with a product that catches the attention of more customers than just the ones that would normally like to interact, it would definitely win.<br /><br />As a result, I'm inspired to think how we could implement design thinking while analyzing products, or education systems. If systems are connected tightly to users, it would probably be effective.",48759,2018-09-09T02:46:15.000-04:00,,2171,text,2018-09-09T02:46:15.000-04:00,45305
313852," I was impressed by Mr. Brown's three phases in design thinking. I completely agree with his idea that inspiration starts with empathy, which means that designers are supposed to always try putting ourselves in others' shoes to know what exactly target users' feelings are and what they really want, and developing an understanding of those people for whom we are designing the products or services is of great importance. It also encourages designers to go out to observe and explore. As Mr. Brown mentioned before,"" the whole world is a source of inspiration for design thinkers"", I believe it is meaningful for designers to experience things and find inspiration.",48732,2018-09-09T21:04:32.000-04:00,,1444,text,2018-09-09T21:04:32.000-04:00,45305
